# Data for device cDAQ1 sampled at 1024
# t | Mod8/ai0:2(bridge) | 
3.280273437500000000e+00 -1.518105301430875548e-03 -1.890259680533585250e-03 -1.884467554087726352e-03
3.281250000000000000e+00 -1.518931007743721303e-03 -1.890880319627554190e-03 -1.886836951981555027e-03
3.282226562500000000e+00 -1.518620485870154913e-03 -1.889180613016956060e-03 -1.888275509555181709e-03
3.283203125000000000e+00 -1.517632460454909323e-03 -1.889674304324277408e-03 -1.889241597386234067e-03
3.284179687500000000e+00 -1.517865352334299292e-03 -1.888799765106668809e-03 -1.890172424786000288e-03
3.285156250000000000e+00 -1.517145504359542754e-03 -1.887699536194035197e-03 -1.890341665946751546e-03
3.286132812500000000e+00 -1.518507568777814880e-03 -1.887375109261365744e-03 -1.888585786140703016e-03
3.287109375000000000e+00 -1.518218218613288494e-03 -1.889885886165121754e-03 -1.887690214567136222e-03
3.288085937500000000e+00 -1.518846319978983976e-03 -1.891388114681545433e-03 -1.883889306482583806e-03
3.289062500000000000e+00 -1.517406625802483191e-03 -1.889907044344321749e-03 -1.884806040182963882e-03
3.290039062500000000e+00 -1.518669887090103032e-03 -1.891317587621301225e-03 -1.886011895050169768e-03
3.291015625000000000e+00 -1.517484256475662039e-03 -1.890386629501332330e-03 -1.887295316359953630e-03
3.291992187500000000e+00 -1.516700891861807446e-03 -1.888983136358649961e-03 -1.887337626896948631e-03
3.292968750000000000e+00 -1.516418598008996768e-03 -1.888299020194174858e-03 -1.886167034063428085e-03
3.293945312500000000e+00 -1.519022752806137603e-03 -1.891063690122723410e-03 -1.891716748271575444e-03
3.294921875000000000e+00 -1.518542855371887148e-03 -1.888045121175262187e-03 -1.889932666377673511e-03
3.295898437500000000e+00 -1.517681861771646339e-03 -1.888651657508297462e-03 -1.888917217737013906e-03
3.296875000000000000e+00 -1.517942982936861668e-03 -1.887339845451755510e-03 -1.888472958313518581e-03
3.297851562500000000e+00 -1.518705173672817198e-03 -1.890591158326570447e-03 -1.885440700998948504e-03
3.298828125000000000e+00 -1.517752435072875546e-03 -1.892558862440207922e-03 -1.884284207357909448e-03
3.299804687500000000e+00 -1.516559744955155078e-03 -1.891409272797694736e-03 -1.883720063155602028e-03
3.300781250000000000e+00 -1.518112358755517328e-03 -1.889617882485054119e-03 -1.884502813066584468e-03
3.301757812500000000e+00 -1.517568944469136752e-03 -1.889984624327124656e-03 -1.886893366081387373e-03
3.302734375000000000e+00 -1.518493454139494773e-03 -1.890287891418069612e-03 -1.888289613040484939e-03
3.303710937500000000e+00 -1.517004357577333594e-03 -1.888792712364875887e-03 -1.889368528496501330e-03
3.304687500000000000e+00 -1.518726345621260751e-03 -1.889194718489589295e-03 -1.891752006743403162e-03
3.305664062500000000e+00 -1.518204103966869613e-03 -1.887925224371879733e-03 -1.891258387913401532e-03
